ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
ပျဉ်ဒိုးဆိပ်အုပ်စု|Pyin Doe Seik Group
ကျွဲတဲရွာ၊ ဆိတ်ဖူး|Kwae Tae Village, Seik Phuu
ကျင်းအုပ်စု၊ဇီးကုန်းမြို့|Kyin Group, Zee Kone City 
ဈေးညောင်ပင်ကြီးရွာ၊ ပဲခူး|Zay Nyaung Pin Gyi Village, Bago
ဇရပ်လှကျေးရွာ|Za Yat Hla Village 
ရေကြည်မြို့နယ်|Yay Kyi Township 
အေးရွာ|Aye Village 
ကျွန်းဒိပ်အုပ်စု|Kyun Date Group 
အိုးဘိုရွာ၊အုပ်စု|Oae Bo Village, Group 
ဇလွန်မြို့|Za Loon City 
ဇုတ်သုတ်ကျေးရွာ|Zoke Thoke Village 
ဘီးလင်းမြို့နယ်|Belin Township 
ကောက်ကွေ့ရွာ|Kout Kway Village 
လှည်းကူးမြို့နယ်|Hlegu Township 
အပြောင်းနမ(၃)|A Pyaung Na Ma 3
ဖျာပုံမြို့နယ်။|Phyar Pone Twonship.
ပဒါးညေးရွာ၊နွားလပိုး|Padar Nyay Village, Nwar La Poe
လွှိုင်ကော်မြို့|Lwai Kaw City
ကပစ(သ)၊လိမ္မော်ခြံ့အုပ်စု|KaPaSa(Tha), Lane Maw Chan Group
တိုက်ကြီးမြို့နယ်|Tike Gyi Township
ဘုရားကုန်းရွာ၊ဇရပ်|Phayar Kone Village, Zayat
ရန်ကြီးအုပ်စု၊ပန်းတနော်|Yan Gyi Group, Pan Ta Naw
မြို့|City
မိဖယာရွာ|Mi Pha Yar Village
ရေစကြိုမြို့နယ်|Yae Sa Kyo Township
ငါးဖယ်အင်း၊ကြံတောင်|Ngar Phal Inn ,  Kyan Taung
ရွာ၊တောင်ငူ|Village, Taungoo
လက်ပံပြားကျေးရွာ|Lat Pan Pyar Village
ပေါက်တောမြို့နယ်|Pauk Taw Township
စိန်ကန့်လန့်ရွာ|Sein Kant Lant Village
မင်းလှမြို့|Min Hla City
မြဝတီရပ်ကွက်၊|Myawady Ward
ဟင်္သာတမြို့|Hin Tha Ta City
ဖက်တောရွာ |Phat Taw Village 
တောင်သာမြို့နယ်|Taung Thar Township
မန်းကျိုးရွာ၊|Man Kyoe Village 
မင်းဘူးမြို့နယ် |Minn Buu Township
လှာကဒါရွာ|Hlar Ka Dar Village 
ကြာအင်းဆိပ်ကြီးမြို့နယ် |Kyar Inn Seik Gyi Township
နုဇရမ်ရွာ |Nu Za Yan Village 
ဒုံဇရစ်အုပ်စု၊ ရွှေကျင်မြို့နယ် |Dong Za Yit Group, Shwe Kyin Township
ထ္ငင်ချက်၊ ကညင်ကုန်း|Htwin Chat , Ka Nyin Kone 
အုပ်စု၊ ပန်းတနော် |Group, Pan Ta Naw 
ကုလားကုတ်(လယ်)ရွာ |Kalar Koat ( Lae ) Village 
ရေးမြို့နယ် |Yay Township
တောင်ကိုင်း(အရှေ့) ရွာ|Taunng Kaing ( East ) Village 
ကျွဲချိုကမ္ဘာနီကျေးရွာ|Kwae Cho Kabar Ni Village 
ဗန်းမော်မြို့နယ် ။|Ban Maw Township
တီတွတ်ရေနံ၊တမ္မ|Ti toot Yay Nan , Tama
ကော်အုပ်စု|Kaw Group
ပတ်လည်အင်းရွာ |Pat lae Inn Village 
မတ္တရာမြို့နယ် |Matatyar Township
ရန်ကြီးအောင်ကျေးရွာ|Yan Gyi Aung Village 
သုံးခွမြို့|Thone Khwa City
မြင်ကဝ၊ မဟာပေါင်းရွာ|Myin Ka Wa, Mahar Paung Village 
လက်ပံတန်းမြို့|Lat Pa Dan City 
ဂွေးတုန်းရွာ|Gway Kone Village 
တံတားဦးမြို့|Ta tar Oo City 
ကြာပင်အိုင်|Kyar Pin Ai
နွားထိုးကြီးမြို့နယ်|Nwar Htoe Gyi Township
အောင်မြင်သာ|Aung Myin Thar
မြို့သစ်မြို့နယ်|Myo Thit Township 
ထနောင်းကန်ကျေးရွာ|htanaungkan village
သာစည်မြို့နယ်|tharsi township
ကျုံကန်ကျေးရွာ၊ |Kyone Kan Village, 
ခရမ်းမြို့နယ်|Kha Yan Township 
အဓလောက်အုပ်စု|ahdhalouk group
(ရေကျယ်ကွင်း)|(yekyalkwin)
မင်္ဂလာဦးရပ်ကွက်|mingalaroo ward
ရွာဘဲရပ်၊ ပြည်မြို့|ywarbae yat, pyay city
ခိုင်ရွှေဝါလမ်း၊ သင်္ဂါရပ်|khaingshwewar street, theingar yat
မကွေးမြို့|magway city
ကမ်း‌ထောင်းကြီး|kanhtonggyi
တောင်ပိုင်း၊ မြေပုံ|taungpaing, myaypon
သာစည်ရွာ|tharsi village
ရေစကြိုမြို့နယ်|yesagyo township
ကျောင်းလမ်း၊ သုံးပင်ကွင်း|kyaung street, thonepinkwin
ရပ်ကွက်၊ ဟင်္သာတမြို့|ward, hinthada city
မြေခဲတောင်ရွာ|myaykhaetaung village
ရေစကြိုမြို့နယ်|yesagyo township
နွားကုန်းရွာ|nwarkone village
အိမ်မဲမြို့|eainme city
သရက်ချောင်းရွာ၊ ဝါရုံးပင်|Tha Yat Chaung Village , War Yone Pin
ဇင်းအုပ်စု၊ လက်ပံတန်းမြို့|Zinn Group, Lat Pan Tan City 
ရွှေဘုံသာရပ်၊ မိုးကုတ်မြို့|Shwe Bone Thar Yat , Moe Goat City 
တော်ခရမ်းအရှေ့ကျေးရွာ |Taw Khyan a shae Village 
ကွမ်းခြံကုန်းမြို့|Kwan Chan Kone City 
အုပ်ဖိုရွာ|Oak Pho Village 
ကံမမြို့|Kan Ma City 
ကျွတ်ကန်ရွာ|Kyut Kan Village
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township
တော်တလုပ်ကျေးရွာတော် |Taw Ta Loat Village Taw 
တလုပ်အုပ်စု၊ မအူပင်|Taloat Group,Maubin 
ရွှေဂုဏ်တိုင်|Shwe Gong Taing 
စဉ့်ကူးမြို့နယ် |Singuu Township
မြို့မ(၃)ပြွန်တန်ဆာ|Myoe Ma (3)Pyon Tan Sar 
ညောင်လေးပင်မြို့နယ် |Nyaung Lay Pin Township
ကြခတ်စု၊ အဟူးအုပ်စု|Kya Khat Su, A Huu Group
ကျိုက်လတ်မြို့နယ်|Kyike Latt Township
ပေါက်ခေါင်းမြို့နယ် |Pouk Khaung Township
ရပ်သစ်ရွာ(ကျောင်းကုန်း)|Yat Thit Village ( Kyaung Kone ) 
၂ ရပ်ကွက်၊ အနော်ရထာ|2 ward, ahnawyahtar
လမ်း၊ ကျောင်းကုန်းမြို့|street, kyaungkone city
အင်းတိုင်စုကျေးရွာ, ဝေါမြို့|intaingsu village, waw city
သဲဖြူရွာ (သဲဖြူဓမ္ဘီ)|thaephyu village(thaephu dhanbi)
အုပ်စု, ဟင်္သာတမြို့|group, hinthada city
ချောင်းဝကျေးရွာ|chaungwa village
ဥတိုအုပ်စု၊ ဒေးဒရဲမြို့|uto group, dedaye city
ကနောင်စုရပ်ကွက်|kanaungsu ward
ရန်ရှင်း(၂)လမ်း၊ ဟင်္သာတမြို့|yanshin(2) street, hinthada city
အလယ်ကျွန်းကျေးရွာ|ahlelkyun village
ပေါက်တောမြို့နယ်|pauktaw township
ကျွန်းဒေါင့်ရွာ|kyundaunk village
နွားထိုးကြီးမြို့နယ်|nahtogyi township
ဘရဲကျေးရွာ|baye village
အောင်လံမြို့နယ်|aunglan township
အမှတ် ၁၈ ရပ်ကွက်|no 18 ward
မြင်းခြံမြို့|myingyan city
ငှက်သိုက်ရွာ၊ ဆင်တ|ngatthike village, sinta
လင်းအုပ်စု၊ လက်ပံတန်းမြို့|lin group, latpantan city
ခလရ(၉)|Khalaya(9)
သံတောင်ကြီးမြို့|thantaunggyi city
တမံကြီးကျေးရွာ|ta man gyi village
ခရိုင်ဘော်အုပ်စု၊ ဖျာပုံမြို့|khayaingbaw group, pyapon city
ဟိုနား၊ မိုင်းခွန်|Ho Nar, Maing Khon
အုပ်စု၊ ကျိုင်းတုံ|Group, Kyine Tone
သပြေပင်ရွာ|thaphaypin village
အောင်လံမြို့နယ်|aunglan township
ထမင်းချက်ရွာ|htaminchat village
စေတုတ္တရာမြို့နယ်|sidoktaya township
ဖန်ပိန်ကြီးရွာ|phan paing kyi village
မန်စီမြို့နယ်.|mansi township
ငွေဇင်ယော်ကူးရွာ|ngwe zin yaw ku village
မော်လမြိုင်ကျွန်းမြို့|maw la myaing kyon city
ထနောင်းကန်ရွာ|htanaungkan village
သာစည်မြို့နယ်|tharsi township
မ-၂၂၊ မင်္ဂလာရပ်|ma-22, mingalar ward
လွိုင်ကော်မြို့|loikaw city
ဒမငယ်ရွာ၊ ဒမငယ်အုပ်စု|da ma nge village, da ma nge group
နတ်တလင်းမြို့နယ်|nattalin township
ရွာသစ်ကုန်းရပ်|ywarthitkone ward
မိုးညှင်းမြို့|mohnyin city
ဆိပ်သာ(မက်သနော)|sakethar (matthanaw)
ဆုံလဲအုပ်စု၊ ကြံခင်းမြို့နယ်|sone lel group, kyankhin township
မနဲနေဝင်ရွာ|MaNaeNayWin Village
မိုးမောက်မြို့နယ်|MoeMout Township
ဖယ်ဖိုလ်ရွာ|PhalPho Village
စဉ့်ကိုင်မြို့နယ်|SintKaing Township
ဇော်ဂျီရပ်ကွက်|Zaw Gi Ward 
သရက်မြို့|Tha Yat City 
ရပ်ကွက်(၃)၊သာပေါင်းမြို့|Ward(3), Thar Paung City 
ဘူတာရပ်|Butar Yat
မြစ်သားမြို့|Myit Thar City 
ဆိုးရာဇာရပ်ကွက်|Soe Yarzar Ward 
ဘီးလင်းမြို့|Beelin City 
ထုံးဘိုရွာ၊ထုံးဘိုဗျိုင်း|Htone Bo Village , Htone Bo Byine 
အုပ်စု၊ မြောင်းမြမြို့|Group, Myaung Mya City 
ဆင်ခေါင်းရွာ|Sin Kaung Village 
မင်းဘူးမြို့နယ် |Minn Buu Township
ရွှေပြည်အေးရွာ ၊|Shwe Pyi Aye Village ,
ကျောက်တံခါးမြို့နယ်|Kyauk Tagar Township
သရက်ကုန်းရွာ|Thayat Kone Village,
ညောင်ဦးမြို့နယ် |Nyaung Oo Township
မရမ်းချောင်းရွာမ|Mayan Chuang Ywar Ma 
ဝါးခယ်မမြို့နယ်|War Khae Ma Township
ငါ့ပိုင်ကျေးရွာ|Nga Paing Village 
ညောင်ဦးမြို့နယ် |Nyaung Oo Township
ရကသ(၄) အင်းလျက်|YaKaTha(4) inlyat
မှော်ဘီ|mhawbi
ဖုံရွာ၊ ဗလုံအုပ်စု|phonwar, bhalon group
မြင်းခြံမြို့နယ်|myingyan township
ငွေတောင်၊ ရွှေမြိုင်|ngwetaung, shwe myaing
ရေတာရှည်မြို့နယ်|yedashe township
ရေစက်တန်း၊ စိန်ကန့်|yesattan, seinkant
လန့်ကျေးရွာ၊ မင်းလှမြို့နယ်|lant village, minhla township
ဒေါ်ညိမ်းကျေးရွာ|dawnyein village
ဖျာပုံမြို့နယ်|pyapon township
၈/၂၀၅၊ ဥက္ကာ(၇)|8/205, okkar (7)
မြောက်ဥက္ကလာပ|north okkalarpa
ကုန်းဘွေရွာ၊ ဇင်ချောင်းအုပ်စု|konebway village, zinchaung group
ကျောက်ဖြူမြို့နယ်|kyaukphyu township
အင်ပင်သာရွာ|inpinthar village
အင်ပင်သာအုပ်စု၊ ဖြူးမြို့|inpinthar group, phyu city
ဖလရ၊ ကြူစမျှင်|PhaLaYa, kyusamyin
မင်္ဂလာဒုံ|mingalardon
သိုက်မြောင်ရွာ|thikemyaung village
ရမည်းသင်းမြို့|yemethin ctiy
ရမ်းအုပ်စု၊ ပျဥ်း.မနား|yan Group, Pyinmana
မောင်းရမ်းရွာ၊ မောင်း|Maunyan Village, Maung
ကျောက်ပန်းတောင်းမြို့|Kyaukpadaung City
တလင်းကုန်းကျေးရွာ|Talingone Village
ခရမ်းမြို့နယ် |Kha yan Township 
အုန်းပင်ကျေးရွာ၊|Ohnpin Village
ညောင်လေးပင်မြို့နယ်|Nyaunglaypin Township
မြို့မ (၂)၊ ပိန်းဇလုပ်|Myoma (2), Peinzalop
မြောင်မြို့နယ်|Myaung Township
တွင်းကြီး၊ မယ်ဇလီကုန်းရွာ|Twingyi, Mezaligone Village 
ကျိုက်မရောမြို့နယ်|Kyaikmaraw Township
လွှခင်ကုန်းကျေးရွာ|Hlwa Khin Kone Village
(၅) အုပ်စု၊ နမ့်စန်မြို့|(5) Group, Namsang City
အမှတ် (၆) ရွာ-အမှတ်|No (6) Ywar-No
မြောင်းမြမြို့|Myaungmya City
တပင်ချောင်းရွာ|Tapinchaung Village
အောင်လံမြို့နယ်|Aunglan Township 
ရွာမထုံးကျေးရွာ|Ywarma Htone Village
မြောက်ကမ္မရိုက်ရွာ|North Kama Yite Village 
ကော့ကရိတ်မြို့နယ် |Kawkareik Township
ကမာပို၊ အောက္ကဘာ|kamarpo, outkabar
ဖျာပုံမြို့နယ်|pyapon township
ပေါက်တောမြို့|pauktaw city
သဝင်ချောင်းရွာ|tha wun chaung village
ကင်းမရွာ|kinma village
ကျောက်တော်မြို့နယ်|kyauktaw township
၅၀၂. ခ. ဇေယာသီရိ|502 kha, zayyarthiri
ပတ်လမ်း၊ (၁၆)ရပ်ကွက်|pat street, (16)ward
အင်တောလေးရွာ|inntawlay village
ရမည်းသင်းမြို့|yemethin ctiy
ကျွဲတဲရွာ၊ ဆိတ်ဖူးကျင်း|kyawetae village, sake phoo kyin
အုပ်စု၊ ဇီးကုန်းမြို့|group, zekon city
ကံသာကြီးရွာ|kanthargyi village
မကွေးမြို့နယ်|magway township
ထနောင်းစုရွာ|htanaungsu village
ညောင်ီဥးမြို့|nyaung-u city
သမန်းရွာ|thaman village
ဝမ်းတွင်းမြို့နယ်|wundwin township
ခလွန်ကျေးရွာ|khalon village
ကျိုက်ထိုမြို့|kyiketho city
ကွင်းအုပ်စု၊ တိုက်ကြီးမြို့|kwin Group, Taikgyi City
ရေယဲကြီးရွာ၊ ပုန်းပင်|Yeyelgyi Village, Ponpin
